Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Population density (people per sq. km of land area),"EN.POP.DNST","Hungary","HUN","115.433270279292","113.936297701406","106.944499232961","106.582905982906","106.366031119877","106.233004602235","105.965581854043","105.532895025203","105.249550734166","105.108327854482","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Iceland","ISL","2.54190523690773","2.80503740648379","3.34602493765586","3.42543640897756","3.49817514628583","3.5759496181692","3.63446394922146","3.69453535654071","3.78858474660319","3.82488346722206","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","India","IND","290.923964159707","355.82076254797","452.020992940243","457.30592394028","462.351569862673","467.185182245332","471.755150192218","475.652042419085","479.425536881262","483.679010086809","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Indonesia","IDN","101.293959383297","115.08687262286","140.945267664402","142.393583234045","143.781152680745","145.132688936836","146.371283592869","146.235107708626","147.330175215419","148.57692229227","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Iran, Islamic Rep.","IRN","35.8432746383752","40.778665365063","51.4576905130283","52.4047790446841","53.0773485362096","53.6527876733436","54.0668369799692","54.518020338983","55.1767309707242","55.8451198767334","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Iraq","IRQ","40.1975581315591","55.8430070649564","88.6135586739395","90.6123378358457","92.7505804739616","94.8844148066247","97.0138092276507","99.2127035680556","101.514640775804","103.826155759795","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Ireland","IRL","51.0084772826245","55.2355058789374","69.1351720133546","70.0746842792858","71.0991725939904","72.237712294963","73.1564377993903","74.1847147626651","75.6689795325882","77.1017273914937","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Isle of Man","IMN","120.905263157895","132.735087719298","146.431578947368","146.682456140351","147.026315789474","147.29298245614","147.480701754386","147.554385964912","147.6","147.657894736842","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Israel","ISR","215.341959334566","290.619223659889","394.916820702403","402.647874306839","410.480591497227","418.391866913124","425.836414048059","433.059149722736","441.658964879852","455.129390018484","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Italy","ITA","192.850430111183","192.555434569421","203.285640373599","202.903617635721","203.398704170865","201.980545589195","200.999100491348","199.965416259464","199.559268903016","199.459678073854","..",".."
